sent,label
tomorrow at 11 am remind me to perder jockey tactel,remind me to perder jockey tactel
Pls change the reminder,Not Found
Please remind me on 1am for shutdown laptop,1am for shutdown laptop
Need a reminder 15mins before pls,Not Found
Add new reminder,Not Found
Plz make my schedule for tmw,Not Found
Hey \,can you remind me to Start reading chapter 9 in my book?,Start reading chapter 9 in my book?
Please remind me everyday for brush,brush
Good morning Pourush,Not Found
Can you remind me to right my diary everyday at 11:55 pm,right my diary everyday at 11:55 pm
Remind me to study 7p's & second unit of BE tomorrow,study 7p's & second unit of BE tomorrow
To remind ma'am about the class on 5th,ma'am about the class
Bro I need study reminder daily is it possible,study reminder daily is it possible
Todays is Most importent in My life...... Want u to remind me every year,remind me every year
I want to gift a cake to someone,gift a cake
Hey\, can you remind me to sleep at 4 PM today?,sleep at 4 PM today?
Reminder today,Not Found
Remind me to go at Red Cross at 4:30pm in evening 25/11/2016,go at Red Cross at 4:30pm in evening 25/11/2016
Please set a reminder for me just after 20minutes wat the time is right now,me just after 20minutes wat the time is right now
Remind to take cet material to cls @ 4 30 pm,take cet material to cls @ 4
Can you remind me to go to photo studio for passport size photo. At 12:00pm today,go to photo studio for passport size photo. At 12:00pm today
Remind me on 12 December,Not Found
Can u remind me that,Not Found
Remind me to pay my axis cc bill,pay my axis cc bill
9327426063,Not Found
Okay..,Not Found
I want reminder every time when I get new Gmail,Not Found
Need an alarm at 7 PM today,Not Found
Please also remind me to walk every 25 mins,walk every 25 mins
For alarm i should on the net,Not Found
You faild to remind me on time\, sad,Not Found
Is daily reminder available?,Not Found
Please set a reminder for me to book tatkal at 11.30 am tomorrow,book tatkal at 11.30 am tomorrow
Can you connect all my friends list from Facebook and remind me accordingly.,connect all my friends list
Thanks for calling!,Not Found
Is there any such facility that you guys keep calling till the time I answer,Not Found
remind me entire day today to register for courses,entire day today
ReMind me to bring bill book tomorrow,bring bill book tomorrow
Can you remind me d same thing at 5:00 pm tomorrow..?,remind me d same thing
Remind me to say her to bring her ece copy in the colg,say her to bring her ece copy in the colg
One more thing can you please remind,Not Found
Please send other reminder details,other
List of reminder,Not Found
To remind me,Not Found
Can you remind me to watch movie,watch movie
Remainder to eat fruit,Not Found
Thanks for remindering me,Not Found
Can you schedule a reminder,Not Found
Hey.. Can you give me a reminder at 1.57 for the next Mi shake shake game..,give me a reminder at 1.57 for the next Mi shake shake game..
I get reminder only when internet is ON,when internet
Once again remind me at 8.35,Not Found
Remind me to attend caw 2:45 pm December 15,attend caw 2:45 pm December 15
Set a reminder for me,Not Found
How many times you are going to call me for the same,call me for the same
I got to Skype with my friend at 8:30 pm can you please remind me that?,Skype with my friend at 8:30 pm can you please remind
Remind me to play guitar,play guitar
How will be the "call"?,Not Found
Bro,Not Found
Can you remind my wife tmrw to take her vitamin D injection at 3 pm,remind my wife tmrw to take her vitamin D injection
I want to make reminder,Not Found
Reminder 2 being pomogranet tody at 5pm,being pomogranet tody
Maybe later..,Not Found
What about,Not Found
I need the reminder between 4 pm to 11 pm,Not Found
Remind me from tomorrow,Not Found
Ping me later jab m home,Not Found
Please end reminder,Not Found
I want reminders all day,Not Found
About to carry a ring for sivaswamy,carry a ring
Details for which reminder?,Not Found
Remind to go for walk n yoga,go
Remind me to come at 8 pm today,come at 8 pm today
Thanq. And remove(delete) all previous wakeup calls. Plz.,Not Found
Remind me too mail up my client,Not Found
Call ficci at 11 00 am tomorrow n thereafter call dme,Not Found
Remind me to wish vritz on her birthday which is on 11th november,wish vritz on her birthday which is on 11th november
Take chakli from sachin reminder,Not Found
About Insurance refund,Not Found
Remind me to bring hair oil today,bring hair oil today
I have a journey tomorrow night please remind me the same in the morning,Not Found
Please remind me to repair my laptop on Saturday I.e on 03-Dec-2016 at 9:30 AM,repair my laptop
Remind that maruti car insurance policy will come on Monday at 12 Tell dad about it,maruti car insurance policy will come
I would like to set to do list reminder,Not Found
I am late to office,Not Found
2 calls,Not Found
Reminder to Marriage ceremony,Not Found
Remind me for my recharge,my recharge
Need to put in reminders for tom.,put in reminders
Remind me tomorrow by 11 about baerlocher endorsements,by 11 about baerlocher endorsements
Remind me today at 1700hr to put fashion designer job requirement,today
Remaind me for every 2 hours,Not Found
I want to set a new reminder,Not Found
Will i have two alarms,two alarms
K. Thank you so much for your remainder,Not Found
Did you set the target?,Not Found
Plz remind me again at 2:30,Not Found
Remind me at 9Pm to buy a fill for FM-2,buy a fill
Tanushree... plz remind me at proper hour,Not Found
Can u please remind me to charge my phone at 3:30pm,please remind me to charge my phone
Heyya listen .... I need to know about something,know about something
Just remind me to tune the channel of TV @ 9:00pm,tune the channel of TV @ 9:00pm
Do I have any reminder for today?,Not Found
Ya I know but remind me to go jacking ok,but remind me to go jacking ok
Please close the reminder,Not Found
Remind me at 9 pm today of it return of Nextgen employee,at 9 pm
7:00,Not Found
Remind me to move cupboard today at 9:30pm,move cupboard today
Will discuss in evening,Not Found
set me an alarm on 8:00am on 28-12-16,Not Found
I already told about reminder of hr mantra app,hr mantra app
Hi gm,Not Found
Remind me to go to gym today at 5:34 pm,go to gym today at 5:34 pm
can you suggest me the application for schedule silent mode n general mode,application for schedule silent mode n general mode
What is the reminder I have set?,Not Found
U haven't called me right???,Not Found
N one more reminder I wanna set for 5:10am 26 december,Not Found
Can you please put this as a reminder for 7th dec 12pm again please,Not Found
Can you remind me to replace my lenses on 19th December,replace my lenses on 19th December
set remider,Not Found
Remind me to keep the pass back at 2.00 pm tomorrow (19th November),keep the pass back at 2.00 pm tomorrow (19th November)
Remind me bro bday at 11am today,Not Found
Remind me for economics notes at 2:50PM today,economics notes at 2:50PM today
Remind me to take a book for assinment today at 12:00 pm ok,take a book for assinment today at 12:00 pm ok
Set reminder on 5th December for visiting doctor on 6th December at Park clinic,5th December for visiting doctor on 6th December at Park clinic
Repeat alarm at 8 am please,Not Found
And also remain me on Friday 10 am about medical bill,Friday 10 am about medical bill
Remind me same at 10.40pm today,Not Found
At least there should be notification popup because how would i get the reminder that i have to do something,that i have to do something
Remind me to ask simar to do 10 maths questions and learn square root table,ask simar to do 10 maths questions and learn square root table
Also remind me to mail the presentation to Bloomberg tomorrow at 11 am,mail the presentation to Bloomberg tomorrow at 11 am
Can u remind me on Monday at 1100 am to ask muthu on confirmation for the training,ask muthu
Reminder for ticket booking,Not Found
Remind me tommorow to write jaasa uncle's 2000 rupees at 12 pm,write jaasa uncle's 2000 rupees
Can you remind me for tomorrow,Not Found
Set a reminder for 4pm also Medical check up,Not Found
i have problem with 11:58pm reminder please remoe it,remoe it
Reminder for study time,Not Found
Pls remind me to that I need to submit my documents tmw mng,that I need to submit my documents tmw mng
Okay thank you... That will be total 2 reminders is it?,Not Found
Please remind me to get ioning cloths at 730 pm today evening,get ioning cloths at 730 pm today evening
Remind me tomorrow about buying pen for taran with bill. At 9 am.,about buying pen for taran with bill. At 9 am.
Remind me to go to dad's shop @ 2:30 pm,go to dad's shop @ 2:30 pm
Tomo evening at 4.30 pm remember me i should go to near basavana bhavan,i should go
remind me to watch baar bar dekho at 8.00 pm today,watch baar bar dekho at 8.00 pm today
Hello\, when did I ask for this reminder?,Not Found
Please remind me to do payment of credit card today at 10:10 am,do payment of credit card today at 10:10 am
i need a reminder in tamil,Not Found
please remind me to open crystals at 1655 hours,open crystals at 1655 hours
Via call?,Not Found
Edit my reminder,Not Found
Remind me in 12:50pm,Not Found
Add some more reminders,Not Found
Remind me to book tickets today,book tickets today
I want to remind to my wife birthday,my wife birthday
i will stopped reminder...,Not Found
Alert tone?,Not Found
Set me a reminder after 12 minutes,Not Found
Can u remind me every day that i have punch in at zinger at 9:45 am ??,remind me every day that i have punch in
Ya sure you can,Not Found
Everyday,Not Found
If my provided number will be out of reach den plz make me a call on 8804033000,provided number will be out of reach den plz make me a call
Set Alarm from 10:400AM to 10:50AM\, today\, 2 minutes difference,Not Found
Also remind me to book ticket of partha on 3rd Jan at 09:30,book ticket of partha
Add a reminder on 24th nov at 3.30 at meet Mr. Oak,24th nov at 3.30 at meet Mr. Oak
And remind me to check mi store,check mi store
How can i set reminders,Not Found
I want to change my child name from kanishk to kanishk lodha in birth certificate tell me procedure for Tamil nadu Chennai Wat is easiest way,change my child name from kanishk to kanishk lodha in birth certificate tell me procedure for Tamil nadu Chennai Wat is easiest way
Please call.me on 10 Nov\, 2016 at 11 am IST please,10 Nov\, 2016
Give a cll to me at 4pm today to remind me to buy smthing,remind me to buy smthing
Any upcoming events?,Not Found
remind me 9pm,Not Found
Hi\, please remind me tomorrow to go to parlour for my eyebrows done.ok,go to parlour for my eyebrows done.ok
Today I have set a reminder at morning 9 am,Not Found
Thank u for remember me,Not Found
My reminder came late,Not Found
Does haptik send me reminders from a single mobile number?,Not Found
But call on above mention number just said recharge,Not Found
Remind me to buy eggs at 6 pm today,buy eggs at 6 pm today
My reminder of march 18th 2017,Not Found
Cud u make it hydrating reminder frequency by hour,Not Found
I want to set it as yearly reminder,Not Found
Thanks man...i ll let you know in case of any assistance,know
K thks remember with me,Not Found
I said except on sunday I need a daily alarm at 7:05 AM,Not Found
Remind me to collect headpone today at 5pm,collect headpone today
Plz remind me to eat something at 7pm,eat something
Please dismiss all my reminders,Not Found
Remind me today at 8:00 pm to make note,make note
Can I set reminder for another phone from this phone?,another phone from this phone?
Remind on Monday to call Vivin at 11 am,call Vivin
I also need a general reminder to upload the documents at 11.30 am,a general reminder to upload the documents
Please remind me that I have a flight from Chandigarh to Pune tomorrow at 1430 hours,me that I have a flight from Chandigarh to Pune tomorrow
Change the frequency of reminder,Not Found
Alarm same time this morning please?,Not Found
Can you remind me whenever JEE and Gujcet exam online application starts??,whenever JEE and Gujcet exam online application starts??
Whats that reminder for,Not Found
Remind me at 4:20 pm,Not Found
Reminders for every month,Not Found
Tell me about best and safe file sharing app,best and safe file sharing app
Pls remind for go to garden at 430pm,garden
Please do setup reminder,Not Found
Surely\,Thanks. The same will be for the Language Reminder too?,Not Found
How could uhh remind me,Not Found
Second d reminder today 830 pm for the same,Not Found
Remind for RO service,Not Found
Call me immediately,Not Found
Pls remind on 7th Jan 2017 at 11am for filling hallticket of nmis,7th Jan 2017
Remind me for purchase of pillows at 5 pm today,purchase of pillows at 5 pm today
Ok can you schedule the same task for 2:45 pm today,Not Found
Every Saturday at 9 pm,Not Found
I need a reminder,Not Found
Reminder on another number,Not Found
Remind me about Lenskart,Lenskart
Phone call,Not Found
Will u plz set a reminder for me,Not Found
I need a reminder after 56 days,Not Found
Please remind me morrow at 5.15,Not Found
Remind me at 4 pm to visit ICICI Bank and boxer,visit ICICI Bank and boxer
Can you remind me to do the same after an hour please?,do the same after an hour please?
Does my phone need to be connected to Internet for reminders?,be connected
Set an alarm for 9 am today,Not Found
Give a reminder to carry laptop,carry laptop
And remind me to do on every Monday to yuvakender at 9:25pm,every Monday to yuvakender
Set one more reminder for tonight 930pm,Not Found
How will I get a reminder?,Not Found
can you remaind me to sleep at 10.35pm today,sleep at 10.35pm today
Remind me to submit my taxes and pay the man all my money at 12:24,submit my taxes and pay the man all my money
Remind me to go to david sassoon library at 1.30,go to david sassoon library
I wwant to make one more reminder,Not Found
Remind me to take interview of Pooja on 7th Dec at 8 P. M.,take interview of Pooja on 7th Dec at 8 P. M.
Remind me to get true copy of agreement tomorrow,get true copy of agreement tomorrow
Remind me on 7 January for visit to borivali for Nagaur got at 3 pm,borivali
Call me on,Not Found
Please remind me the above,Not Found
Can you remind me to book ticket's for dec end tomorrow ??,book ticket's for dec end tomorrow ??
Thanks for reminder.......,Not Found
Need repeat alarm in next 5 min,Not Found
Remind me to follow up with nana at 7 pm today.,follow up with nana at 7 pm today.
Call me in 7898117441,Not Found
I want a reminder to go to Aziza at 4pm,a reminder
Remind me this at 11 am,Not Found
Please remind me on 3rd dec 2016... to deactivate active fitness pkg,3rd dec 2016... to deactivate active fitness pkg
Remind me at four thorty to check the cookies,at four thorty
Remind me at 3:10 pm today,Not Found
Please remind me after 15 minutes for food,Not Found
Can you set reminder for 18 December at 9 pm to book tickets for nations street food festival 2016,book tickets for nations street food festival 2016
U can remind till 10,Not Found
This reminder for Shivani pathak okk????,Not Found
Set an alarm at 8 am for tomorrow,Not Found
Yes komal go ahead,Not Found
again call me after 10 minutes,Not Found
Yeah thanks for reminding me,reminding me
Was the call made by you at 12?,call made
Please schedule it for everyday,Not Found
Nahi 9:15 Ko Mujhe Remind Karo,Not Found
Remind me that I have math tuition at 2:00pm,that I have math tuition
Also\, remind on Monday thrice,Not Found
Remind me on 16 Dec at 5 pm for bday of vikas,16 Dec at 5 pm for bday of vikas
I want this reminder daily,Not Found
Please remind me tomorrow at 1pm to mail my leave application,tomorrow at 1pm to mail my leave application
Remind me to cal ravi kumar,cal ravi kumar
Remind me at 5pm to go veer hosiery,go veer hosiery
Reminder for electrochemical analysis today 11:30 am,Not Found
Make it for 10:30 am to call Jaineel,10:30 am to call Jaineel
OBC loan payment. Remind me each month on 28th at 10:30,me each month
Thanks for remind me,Not Found
Just tell me how this remainder option works?,Not Found
31st Dec 6:45 am 7:00 am 7:10 am Will you schedule all of these please?ðŸ˜ŒðŸ˜Œ,schedule all of these please?ðŸ˜ŒðŸ˜Œ
Reminder for roll num attest tomorrow at 10 am,roll num attest tomorrow
Remind me to book movie tickets today at 12pm,book movie tickets today
Need to keep reminder,Not Found
16/1/2016 please remind about court in the morning 8am,court
I need a reminder at 5.50 pm sharp.,Not Found
9824671888,Not Found
Remind me for pollution check on 10/03/17at 8.45,pollution check on 10/03/17at 8.45
reminder on friday at 9 am,Not Found
If I uninstall haptic will I get reminders?,Not Found
thanks fr d reminder,Not Found
Please remind me for paying online for movie tickets,paying online for movie tickets
Remind me to eat tablets,eat tablets
Remind me my match,Not Found
One more birthday remainder please,Not Found
Could tell me about taj mahal,about taj mahal
Remind me at 10 o'clock tomorrow,Not Found
Will you remind me i have to watch movie?,i have to watch movie?
Why are nt you calling me,Not Found
9811027464,Not Found
Please set a general reminder for today @ 5:00 p.m.,Not Found
Call me at 8 plZ,Not Found
Remind me at 10 15 am everyday,Not Found
That's good service\, can you send format of to do list ? Or how to prepare to do list ???,do list ? Or how
Remind me for shoes g wing and wholesale t & c at 1 pm today and tomorrow both,shoes g wing and wholesale t & c at 1 pm today and tomorrow both
On this 8th and 9th I arrange a meeting with military staff so please remind me at 9:30 am on those day,9th I arrange a meeting with military staff so please remind me
I wanted to set on more alarm,Not Found
21 Nov call to Jaini for Jmd var on 10am,Jmd var
Can u Mee what was today's reminders of me,Not Found
Can u send automated message(scheduled) to any number,Not Found
Schedule reminder at 3:10pm today for cheque issue,cheque issue
I need a reminder at 11.55 pm January 6th,Not Found
Why there isn't any sound for reminding messages?,Not Found
Please remind me on :720 am,Not Found
Hi I need 3 reminders a day 1. 11.30 am for salad 2. 1.30 pm for lunch 3. 4 pm for fruits,3 reminders a day 1. 11.30 am for salad 2. 1.30 pm for lunch 3. 4 pm for fruits
Pls remind me...Tomorrow I have to submit Power quality analysis report hard copy...,submit Power quality analysis report hard copy...
Remaind me at 11.59 am yaa,Not Found
Ty for all the reminders,Not Found
Put a reminder for me,Not Found
Remind me to bring atta from chakki today at 9.30pm,bring atta from chakki today
Hey\, can you remind me to carry my laptop tomorrow morning?,carry my laptop tomorrow morning?
Can you remind me on my nu.mber 9269504000,Not Found
Remind me to have a walk for every one hour in between 10 - 6pm,have a walk for every one hour in between 10 - 6pm
Yes thx want reminder daily,Not Found
Can u Remind me on buying gifts tomorrow for a contest at office may be around at 10:30 am tomorrow,buying gifts tomorrow for a contest at office may be around at 10:30 am tomorrow
Plz remind m after 5 min,Not Found
Can u setup one reminder as well,Not Found
Hi Daniel...remind me to take Airtel connection,take Airtel connection
that reminder ws 12.30 pm,Not Found
Remind me to carry make up box,carry make up box
Thnqq for reminding me,Not Found
Call to 2ic tomorrow at 10.30 am,2ic tomorrow
Why arw you calling me.,Not Found
Yes.,Not Found
Reminder to pay insurance premium,Not Found
Remind me Raheja Plaza hearing on 11-1-17 @ 12-30pm,Raheja Plaza hearing
Guys\, inspite my repeated request you all are still sending me these useless reminders \, what you want ? Should I downgrade your rating of your app or uninstall permanently.? Next reminder & I will do both thing so beware ðŸ‘¿ðŸ‘¿,all are still sending me these useless reminders \, what you want ? Should I downgrade your rating of your app or uninstall permanently.? Next reminder & I will do both thing
Set a reminder in 18th,Not Found
Remind me according to glasses,according
Remind me at 9am in the morning to change the order to 100kg each,change the order to 100kg each
I did get reminder,Not Found
One reminder for 9th November 00.00 am,Not Found
9829210008,Not Found
Remind me on Monday about tax submission by 3 pm,Monday about tax submission by 3 pm
This was such a small alarm,Not Found
All done madam.. thanks.. fortunately I remembered this,Not Found
Can u please remind me to bring my laptop to college on Tuesday,bring my laptop
Remind me to have lunch at 2:30 pm today,have lunch at 2:30 pm today
Thank u lot for remembering I really appreciate this service,Not Found
Remind me to take my cheque book and bring it to office tomorrow,take my cheque book and bring it to office tomorrow
Hi.. I need reminder for folic acid only on Wednesdays.. Thanks,Not Found
Please remind me to visit Bsnl office on Monday 07.11.2016 at 13:30 pm,visit Bsnl office on Monday 07.11.2016 at 13:30 pm
Reminder at 6,Not Found
Want to set one reminder,Not Found
Oh s,Not Found
Reminder to punch in biometry,punch
Cool thanku soo much.... can u send me this msg detail along with a call that day?,send me this msg detail along with a call that day?
Remind me of a flight to Germany on 13th at 11 am,of a flight
Please remind me to get the printout for a manual today at 7.30pm,get the printout for a manual today
Schedule this for tomorrow,Not Found
I will let you know,Not Found
Afterwards,Not Found
Can you remind me to take deo on 24 th November at 4.45 pm,take deo on 24 th November at 4.45 pm
Sure thanks for reminding,Not Found
Reminder message should be,Not Found
Can you remind me through phone alert?,Not Found
7 am,Not Found
I want to remember a birthday,remember a birthday
Dont't reminder me for every 30 minutes,every 30 minutes
Remind me for my cousin bday. At 23:50,my cousin bday. At 23:50
Pls remind me on same task at 9 pm,same task at 9 pm
Pls set to 10 am to 6 pm only,Not Found
Reminder: management hour at 7:45pm today,Not Found
Can you set a reminder for me,Not Found
I should be able to make conference calls from my mobile. Can you help?,make conference calls
Remind me to remind Rutu about training,remind Rutu about training
Please remember me I have to buy a CD to tomorrow at 5 p.m.,buy a CD
Call me at 12 45 pm,Not Found
Thanks..,Not Found
Thanks for the reminder\, I had now,Not Found
If u remind me to study\, then it will be much appreciated :p,study\, then it will be much appreciated :p
Will i get my 6:30 pm call,Not Found
Where is my call,Not Found
Hey sayali can you please remind me bring photo to college,bring photo
Hi can I send reminders to my colleagues as well,my colleagues
This Sunday.. Got a meeting with subesh sir. Schedule Tht for me please,meeting with subesh sir. Schedule Tht
Remind me to book a cab at 6 o clock,book a cab at 6 o clock
Good morning shreya,Not Found
Tell me something about Amazon,Not Found
Today at 12,Not Found
I need 2 calls one fr 7.00 am n another for 7.30 am,2 calls one fr 7.00 am n another
Make me remind tomorrow,Not Found
Keep remaining me about creating my own software for my company for this two weeks. From morning 10am to 6 pm every 2hours once.,creating my own software for my company for this two weeks. From morning 10am to 6 pm every 2hours once.
Set reminder for 1:30 as i have to study bst,1:30 as i have to study bst
Thanks a lot to remind me,Not Found
Reminder for getting party games organzined,Not Found
Pls set a alarm for 8 Am,Not Found
Call me at 9 am,Not Found
Will u remind me daily,Not Found
Where is aspirin reminder?,Not Found
Pleaze remind me to download the gs notes today 9:30 Pm,download the gs notes today 9:30 Pm
Cud u plz set a reminder for me,Not Found
Remind me to have sex at 8pm,have sex
Can you change my time 2 reminder of 10am to 10pm?,Not Found
But I ddnt get a cl from ur side for this reminder,Not Found
Remind me to take a haircut on the 25th at 6pm,take a haircut
Gayathri 03/01/17 5.10,Not Found
Does the phone have to be on to get the reminder,phone have to be
Yes.. You can remind me every day,Not Found
Can you please set this up,Not Found
Can u pls remind me to make a list for all rip and repair styles in one folder,make a list for all rip and repair styles in one folder
To which number you call?,Not Found
Reminder for journey,Not Found
One more reminder at 11 am tomorrow to collect post office 5 year term deposit.,collect post office 5 year term deposit.
Hi .... please remind me to buy deo\, pet food\, nd grocery,buy deo\, pet food\, nd grocery
Nopes i want you guys to make that call,you guys
Like movie tickets \, cabs \,etc. There must be another option. Like person assistance. Just a suggestion . Think about it.,Not Found
Tomorrow poshan ahar meeting place reminder me at 9 am,me
Remind me about my daughters pajama party on 16.12.16,about my daughters pajama party
Make it a schedule for all week days,Not Found
Can u Plz remind me to collect a frame @ 5,collect a frame @ 5
One more reminder for s for tomo at 9.30 am,s
Remind me about Aadhar card,Aadhar card
Remind Saloni about Stacy courier on 29th November 2016 at 11am,29th November 2016
Set the alarm for 8am everyday,Not Found
Every month of 20th I need remainder,Not Found
Set reminder at 2:30 pm To note down the result of aldol condensation,Not Found
Remind me to hear kal ho na ho song on jan 7 at 3pm,hear kal ho na ho song
Yes remind me every monday to friday,Not Found
Remind me to Go for police verification,Go for police verification
Also schedule the same for 7am and 7:30am too,Not Found
Thnaks,Not Found
Thanks neha. So nice of u,Not Found
didi can u stp all my reminders plz,stp all my reminders plz
Remind me at 15.25 to go to meeting,go
Remind me to leave for Vaishali at 4 pm today,leave for Vaishali at 4 pm today
Please set the alarm for me at 9 clock sharp tomrow,Not Found
Remind messaginf Geet for blazer and nehru jacket at 10.30pm today.,blazer and nehru jacket
Can you set 2 alarms please?,Not Found
I need that reminder daily,Not Found
I want you to remind me on 02472222987,Not Found
Two reminders these are,Not Found
Yes make me remind ....I have onenyt stand with my gf tonight ..plz make me remember at 9,remind ....I have onenyt stand with my gf tonight ..plz make me remember
My paper is on 19nov 2016 Time 10am Remind me weather I talk my admit card \, photo copy and proof of photo identity,weather I talk my admit card \, photo copy and proof of photo identity
Pls make continues reminder,Not Found
Please remind me on 19th Jan about Chitra nakshtra,19th Jan about Chitra nakshtra
Want to set reminder for milk every day 5.30 PM.,milk every day 5.30 PM.
Remember me to study,study
Please remind me to buy meftal spa in the morning. At around 8.30 am and again remind me at 9 am.,buy meftal spa in the morning. At around 8.30 am and again remind me at 9 am.
Remind me to pick a bag from friend home,pick a bag from friend home
Remind me to Upload money back challenge report tomorrow morning,Upload money back challenge report tomorrow morning
